Model,Missing_Rate,Has0_acc_2,Has0_F1_score,Non0_acc_2,Non0_F1_score,Mult_acc_5,Mult_acc_7,MAE,Corr,Loss,Loss(pred_m)
emt-dlfr-unified,0.0,"(81.1, 0.48)","(81.09, 0.5)","(82.52, 0.52)","(82.57, 0.53)","(47.82, 2.34)","(42.13, 1.41)","(77.35, 0.82)","(75.87, 0.79)","(77.37, 0.62)","(77.37, 0.62)"
emt-dlfr-unified,0.1,"(79.74, 0.31)","(79.73, 0.27)","(80.95, 0.69)","(81.0, 0.66)","(45.09, 2.4)","(39.99, 1.79)","(83.37, 0.62)","(72.08, 0.93)","(106.22, 1.49)","(83.25, 1.3)"
emt-dlfr-unified,0.2,"(76.73, 0.75)","(76.76, 0.73)","(77.85, 0.88)","(77.95, 0.85)","(41.55, 0.74)","(36.74, 1.15)","(90.91, 1.16)","(67.05, 0.61)","(114.16, 1.33)","(90.95, 0.96)"
emt-dlfr-unified,0.3,"(74.54, 1.29)","(74.59, 1.27)","(75.35, 1.49)","(75.49, 1.46)","(38.15, 0.95)","(33.82, 1.36)","(98.56, 2.14)","(61.92, 1.48)","(122.43, 2.43)","(98.67, 2.07)"
emt-dlfr-unified,0.4,"(70.7, 0.55)","(70.76, 0.54)","(71.29, 0.64)","(71.44, 0.63)","(34.84, 0.9)","(31.15, 1.41)","(109.01, 1.63)","(51.68, 1.04)","(133.64, 1.81)","(109.12, 1.41)"
emt-dlfr-unified,0.5,"(67.39, 0.72)","(67.47, 0.71)","(67.89, 0.87)","(68.07, 0.86)","(31.24, 1.1)","(28.13, 1.45)","(118.77, 2.17)","(42.89, 0.26)","(144.47, 3.47)","(119.28, 2.98)"
emt-dlfr-unified,0.6,"(65.26, 0.68)","(65.32, 0.67)","(65.55, 0.9)","(65.72, 0.88)","(29.06, 0.96)","(26.04, 1.01)","(127.5, 3.02)","(36.07, 1.52)","(153.39, 3.62)","(127.28, 3.09)"
emt-dlfr-unified,0.7,"(60.64, 0.71)","(60.62, 0.79)","(61.18, 1.16)","(61.28, 1.23)","(25.94, 0.62)","(23.52, 0.66)","(135.04, 4.25)","(29.8, 2.54)","(162.46, 4.17)","(135.46, 3.61)"
emt-dlfr-unified,0.8,"(59.86, 1.19)","(59.71, 1.32)","(59.91, 1.38)","(59.9, 1.53)","(24.68, 1.44)","(22.93, 1.53)","(138.65, 4.4)","(26.22, 1.92)","(166.06, 5.03)","(137.92, 4.46)"
emt-dlfr-unified,0.9,"(56.27, 1.24)","(55.71, 1.66)","(55.74, 1.46)","(55.35, 1.88)","(20.9, 0.56)","(19.92, 0.7)","(150.68, 2.26)","(13.94, 1.77)","(181.0, 2.27)","(151.34, 1.73)"
emt-dlfr-unified,1.0,"(53.11, 1.87)","(50.76, 3.75)","(52.24, 2.8)","(50.07, 4.61)","(17.25, 2.24)","(17.15, 2.11)","(143.56, 0.65)","(7.05, 3.67)","(174.96, 1.1)","(143.56, 0.63)"
